StayDate,ProductID,InventoryType,Quantity,AvgPrice,GrossRevenue,Cost,Profit
1/1/23,7773,SHOW,59,85.6916,5014.86,3591.09,1423.77
1/1/23,737,HOTEL,87,99.0935,7758.1,5550.49,1464.99
1/1/23,93,SHOW,429,111.6857,45710.31,35047.05,10663.26
1/1/23,777,HOTEL,57,131.9035,6815.72,4778.42,1397.98
1/1/23,800,HOTEL,27,166.3819,4439.97,3201.78,809.79
1/1/23,7389,SHOW,261,79.0684,19780.97,14400.03,5380.94
1/1/23,7249,SHOW,214,114.771,24726,17917.78,6808.22
1/1/23,774,HOTEL,82,112.7212,8569.48,6184.92,1556.93
1/1/23,751,HOTEL,1,176.51,176.51,128.52,30
1/1/23,7621,SHOW,101,44.0644,4135.79,2899.46,1236.33
1/1/23,4369,HOTEL,48,108.4023,4367.96,3141.55,806.1
1/1/23,2414,HOTEL,6,299.7605,1649.12,1268.36,211.06
1/1/23,7784,SHOW,126,106.95,13158.9,9144,4014.9
1/1/23,814,HOTEL,2,195.14,390.28,275.39,78.05
1/1/23,7810,SHOW,39,32.6466,1141.87,802.42,339.45
1/1/23,599,SHOW,507,241.8926,120771.75,99380.2,21391.55
1/1/23,602,SHOW,1,55.55,55.55,35.55,20
1/1/23,7853,SHOW,392,96.2377,36081.2,24724.12,11357.08
1/1/23,812,HOTEL,2,267.005,534.01,409.77,69.42
1/1/23,7662,SHOW,25,42.8542,1064.53,645.37,419.16
1/1/23,130,SHOW,455,142.4018,64583.84,49524.54,15059.3
1/1/23,748,HOTEL,5,163.395,818.67,594.08,147.37
1/1/23,5727,SHOW,24,66.5958,1598.3,1074,524.3
1/1/23,7658,SHOW,227,123.9879,26982.32,19584.96,7397.36
1/1/23,7286,SHOW,100,73.8833,6784.02,4919.62,1864.4
1/1/23,7787,SHOW,194,115.9891,23397.38,17020.79,6376.59
1/1/23,926,SHOW,134,109.2133,13621.72,10232.65,3389.07
1/1/23,792,HOTEL,54,99.9436,5107.9,3769.59,833.95
1/1/23,891,HOTEL,5,414.7833,1877.26,1415.63,272.22
1/1/23,3122,SHOW,525,189.7586,99257.49,77747.68,21509.81
1/1/23,7885,SHOW,3,111.32,333.96,242.4,91.56
1/1/23,7765,HOTEL,6,169.1861,954.72,757.85,95.48
1/1/23,4344,HOTEL,1,223.47,223.47,177.39,22.35
1/1/23,786,HOTEL,3,106.9233,320.77,246.14,41.7
1/1/23,140,SHOW,1572,122.1108,185220.18,134891.12,50329.06
1/1/23,7697,SHOW,174,82.0363,14563.95,9863.09,4700.86
1/1/23,7911,SHOW,15,67.19,994.35,678.9,315.45
1/1/23,7657,SHOW,214,118.5648,24248.24,18319.04,5929.2
1/1/23,783,HOTEL,20,138.9535,2629.3,2044.35,311.43
